address	size	data_pointer_count	table_pointer_count
0x820BE440	0x000000C0	1	1
0x820BE6E0	0x0000003C	1	1
0x820BE720	0x00000068	1	1
0x820BE7A0	0x00000030	1	1
0x820BEB38	0x00000020	1	1
0x820BF7D8	0x00000050	1	1
0x820BF828	0x0000007C	1	1
0x820BF938	0x00000070	1	1
0x820BFCD8	0x0000004C	1	1
0x820BFD28	0x0000003C	1	1
0x820C00B0	0x00000050	1	1
0x820C0100	0x00000060	1	1
0x820C0558	0x00000050	3	3
0x820C05A8	0x00000060	1	1
0x820C0848	0x0000005C	1	1
0x820C1058	0x0000001C	1	1
0x820C1078	0x00000078	1	1
0x820C1430	0x00000050	2	2
0x820C1480	0x00000060	1	1
0x820C16F0	0x00000020	1	1
0x820C1910	0x00000040	1	1
0x820C1950	0x00000054	1	1
0x820C19C0	0x00000020	1	1
0x820C1D18	0x00000048	1	1
0x820C26E0	0x00000080	1	1
0x820C2760	0x00000060	1	1
0x820C2BD0	0x00000058	1	1
0x820C2C88	0x00000020	1	1
0x820C2CB0	0x00000230	1	1
0x820C2F20	0x0000004C	1	1
0x820C38C0	0x00000020	1	1
0x820C41C8	0x00000008	1	1
0x820C45A0	0x00000060	1	1
0x820C4618	0x00000060	1	1
0x820C4838	0x00000020	1	1
0x820C49D0	0x00000054	1	1
0x820C4A40	0x000000AC	1	1
0x820C4E80	0x00000020	1	1
0x820C4EA8	0x00000090	1	1
0x820C4F38	0x00000060	1	1
0x820C53A8	0x00000010	1	1
0x820C5760	0x0000000C	1	1
0x820C5770	0x0000006C	1	1
0x820C5AD0	0x00000048	1	1
0x820C5B18	0x00000060	1	1
0x820C5BB0	0x00000080	1	1
0x820C5D10	0x00000054	1	1
0x820C61F8	0x00000020	1	1
0x820C6300	0x000000C0	1	1
0x820C63D8	0x00000054	1	1
0x820C6448	0x00000024	1	1
0x820C6780	0x00000020	1	1
0x820C6858	0x00000060	1	1
0x820C68F8	0x00000054	2	2
0x820C6968	0x00000008	1	1
0x820C6AE0	0x00000020	1	1
0x820C6F18	0x0000000C	3	3
0x820C6FF8	0x00000014	1	1
0x820C7250	0x00000020	1	1
0x820C7D30	0x00000074	1	1
0x820C8058	0x00000020	1	1
0x820C8320	0x00000040	1	1
0x820C8360	0x00000054	1	1
